location,date,new_cases,roll_cases
India,2020-02-05,0,0.42857142857142855
India,2020-02-06,0,0.2857142857142857
India,2020-02-07,0,0.2857142857142857
India,2020-02-08,0,0.2857142857142857
India,2020-02-09,0,0.14285714285714285
India,2020-02-10,0,0
India,2020-02-11,0,0
India,2020-02-12,0,0
India,2020-02-13,0,0
India,2020-02-14,0,0
India,2020-02-15,0,0
India,2020-02-16,0,0
India,2020-02-17,0,0
India,2020-02-18,0,0
India,2020-02-19,0,0
India,2020-02-20,0,0
India,2020-02-21,0,0
India,2020-02-22,0,0
India,2020-02-23,0,0
India,2020-02-24,0,0
India,2020-02-25,0,0
India,2020-02-26,0,0
India,2020-02-27,0,0
India,2020-02-28,0,0
India,2020-02-29,0,0
India,2020-03-01,0,0
India,2020-03-02,2,0.2857142857142857
India,2020-03-03,0,0.2857142857142857
India,2020-03-04,23,3.5714285714285716
India,2020-03-05,2,3.857142857142857
India,2020-03-06,1,4
India,2020-03-07,3,4.428571428571429
India,2020-03-08,5,5.142857142857143
India,2020-03-09,4,5.428571428571429
India,2020-03-10,13,7.285714285714286
India,2020-03-11,6,4.857142857142857
India,2020-03-12,11,6.142857142857143
India,2020-03-13,9,7.285714285714286
India,2020-03-14,20,9.714285714285714
India,2020-03-15,11,10.571428571428571
India,2020-03-16,6,10.857142857142858
India,2020-03-17,23,12.285714285714286
India,2020-03-18,14,13.428571428571429
India,2020-03-19,38,17.285714285714285
India,2020-03-20,50,23.142857142857142
India,2020-03-21,86,32.57142857142857
India,2020-03-22,66,40.42857142857143
India,2020-03-23,103,54.285714285714285
India,2020-03-24,37,56.285714285714285
India,2020-03-25,121,71.57142857142857
India,2020-03-26,70,76.14285714285714
India,2020-03-27,160,91.85714285714286
India,2020-03-28,100,93.85714285714286
India,2020-03-29,37,89.71428571428571
India,2020-03-30,227,107.42857142857143
India,2020-03-31,146,123
India,2020-04-01,601,191.57142857142858
India,2020-04-02,545,259.42857142857144
India,2020-04-03,24,240
India,2020-04-04,515,299.2857142857143
India,2020-04-05,506,366.2857142857143
India,2020-04-06,1190,503.85714285714283
India,2020-04-07,533,559.1428571428571
India,2020-04-08,605,559.7142857142857
India,2020-04-09,809,597.4285714285714
India,2020-04-10,873,718.7142857142857
India,2020-04-11,848,766.2857142857143
India,2020-04-12,759,802.4285714285714
India,2020-04-13,1248,810.7142857142857
India,2020-04-14,1034,882.2857142857143
India,2020-04-15,835,915.1428571428571
India,2020-04-16,1108,957.8571428571429
India,2020-04-17,922,964.8571428571429
India,2020-04-18,1370,1039.4285714285713
India,2020-04-19,1893,1201.4285714285713
India,2020-04-20,924,1155.142857142857
India,2020-04-21,1541,1227.5714285714287
India,2020-04-22,1290,1292.5714285714287
India,2020-04-23,1707,1378.142857142857
India,2020-04-24,1453,1454
India,2020-04-25,1753,1508.7142857142858
India,2020-04-26,1607,1467.857142857143
India,2020-04-27,1561,1558.857142857143
India,2020-04-28,1873,1606.2857142857142
India,2020-04-29,1738,1670.2857142857142
India,2020-04-30,1801,1683.7142857142858
India,2020-05-01,2394,1818.142857142857
India,2020-05-02,2442,1916.5714285714287
India,2020-05-03,2806,2087.8571428571427
India,2020-05-04,3932,2426.5714285714284
India,2020-05-05,2963,2582.285714285714
India,2020-05-06,3587,2846.4285714285716
India,2020-05-07,3364,3069.714285714286
India,2020-05-08,3344,3205.4285714285716
India,2020-05-09,3113,3301.285714285714
India,2020-05-10,4353,3522.285714285714
India,2020-05-11,3607,3475.8571428571427
India,2020-05-12,3524,3556
India,2020-05-13,3763,3581.1428571428573
India,2020-05-14,3942,3663.714285714286
India,2020-05-15,3787,3727
India,2020-05-16,4864,3977.1428571428573
India,2020-05-17,5050,4076.714285714286
India,2020-05-18,4630,4222.857142857143
India,2020-05-19,6147,4597.571428571428
India,2020-05-20,5553,4853.285714285715
India,2020-05-21,6198,5175.571428571428
India,2020-05-22,6568,5572.857142857143
India,2020-05-23,6629,5825
India,2020-05-24,7113,6119.714285714285
India,2020-05-25,6414,6374.571428571428
India,2020-05-26,5843,6331.142857142857
India,2020-05-27,7293,6579.714285714285
India,2020-05-28,7300,6737.142857142857
India,2020-05-29,8105,6956.714285714285
India,2020-05-30,8336,7200.571428571428
India,2020-05-31,8782,7439
India,2020-06-01,7761,7631.428571428572
India,2020-06-02,8821,8056.857142857143
India,2020-06-03,9633,8391.142857142857
India,2020-06-04,9889,8761
India,2020-06-05,9471,8956.142857142857
India,2020-06-06,10438,9256.42857142857
India,2020-06-07,10864,9553.857142857143
India,2020-06-08,8442,9651.142857142857
India,2020-06-09,10218,9850.714285714286
India,2020-06-10,10459,9968.714285714286
India,2020-06-11,10930,10117.42857142857
India,2020-06-12,11458,10401.285714285714
India,2020-06-13,11929,10614.285714285714
India,2020-06-14,11502,10705.42857142857
India,2020-06-15,10667,11023.285714285714
India,2020-06-16,10974,11131.285714285714
India,2020-06-17,12881,11477.285714285714
India,2020-06-18,13586,11856.714285714286
India,2020-06-19,14516,12293.57142857143
India,2020-06-20,15403,12789.857142857143
India,2020-06-21,14831,13265.42857142857
India,2020-06-22,14933,13874.857142857143
India,2020-06-23,15968,14588.285714285714
India,2020-06-24,16922,15165.57142857143
India,2020-06-25,17296,15695.57142857143
India,2020-06-26,18552,16272.142857142857
India,2020-06-27,19906,16915.428571428572
India,2020-06-28,19459,17576.571428571428
India,2020-06-29,18522,18089.285714285714
India,2020-06-30,18641,18471.14285714286
India,2020-07-01,19160,18790.85714285714
India,2020-07-02,20903,19306.14285714286
India,2020-07-03,22771,19908.85714285714
India,2020-07-04,24850,20615.14285714286
India,2020-07-05,24248,21299.285714285714
India,2020-07-06,22251,21832
India,2020-07-07,22753,22419.428571428572
India,2020-07-08,24879,23236.428571428572
India,2020-07-09,26506,24036.85714285714
India,2020-07-10,27114,24657.285714285714
India,2020-07-11,28606,25193.85714285714
India,2020-07-12,28732,25834.428571428572
India,2020-07-13,28498,26726.85714285714
India,2020-07-14,29429,27680.571428571428
India,2020-07-15,32676,28794.428571428572
India,2020-07-16,34975,30004.285714285714
India,2020-07-17,35252,31166.85714285714
India,2020-07-18,38697,32608.428571428572
India,2020-07-19,40425,34278.857142857145
India,2020-07-20,37132,35512.28571428572
India,2020-07-21,37740,36699.57142857143
India,2020-07-22,45720,38563
India,2020-07-23,49310,40610.857142857145
India,2020-07-24,48916,42562.857142857145
India,2020-07-25,48611,43979.142857142855
India,2020-07-26,49981,45344.28571428572
India,2020-07-27,44457,46390.71428571428
India,2020-07-28,51596,48370.142857142855
India,2020-07-29,50294,49023.57142857143
India,2020-07-30,52783,49519.71428571428
India,2020-07-31,61242,51280.57142857143
India,2020-08-01,54735,52155.42857142857
India,2020-08-02,52972,52582.71428571428
India,2020-08-03,52050,53667.42857142857
India,2020-08-04,52509,53797.857142857145
India,2020-08-05,56282,54653.28571428572
India,2020-08-06,62538,56046.857142857145
India,2020-08-07,61537,56089
India,2020-08-08,64399,57469.57142857143
India,2020-08-09,62064,58768.42857142857
India,2020-08-10,53601,58990
India,2020-08-11,60963,60197.71428571428
India,2020-08-12,66999,61728.71428571428
India,2020-08-13,64553,62016.57142857143
India,2020-08-14,64732,62473
India,2020-08-15,64030,62420.28571428572
India,2020-08-16,57711,61798.42857142857
India,2020-08-17,55018,62000.857142857145
India,2020-08-18,64572,62516.42857142857
India,2020-08-19,69672,62898.28571428572
India,2020-08-20,68900,63519.28571428572
India,2020-08-21,69876,64254.142857142855
India,2020-08-22,69239,64998.28571428572
India,2020-08-23,61408,65526.42857142857
India,2020-08-24,60975,66377.42857142857
India,2020-08-25,57224,65327.71428571428
India,2020-08-26,85687,67615.57142857143
India,2020-08-27,77266,68810.71428571429
India,2020-08-28,76472,69753
India,2020-08-29,78761,71113.28571428571
India,2020-08-30,78512,73556.71428571429
India,2020-08-31,69921,74834.71428571429
India,2020-09-01,78357,77853.71428571429
India,2020-09-02,83883,77596
India,2020-09-03,83341,78463.85714285714
India,2020-09-04,86432,79886.71428571429
India,2020-09-05,90632,81582.57142857143
India,2020-09-06,90802,83338.28571428571
India,2020-09-07,75809,84179.42857142857
India,2020-09-08,89706,85800.71428571429
India,2020-09-09,95735,87493.85714285714
India,2020-09-10,96551,89381
India,2020-09-11,97570,90972.14285714286
India,2020-09-12,94372,91506.42857142857
India,2020-09-13,92071,91687.71428571429
India,2020-09-14,83809,92830.57142857143
India,2020-09-15,90123,92890.14285714286
India,2020-09-16,97894,93198.57142857143
India,2020-09-17,96424,93180.42857142857
India,2020-09-18,93337,92575.71428571429
India,2020-09-19,92605,92323.28571428571
India,2020-09-20,86961,91593.28571428571
India,2020-09-21,75083,90346.71428571429
India,2020-09-22,83347,89378.71428571429
India,2020-09-23,86508,87752.14285714286
India,2020-09-24,86052,86270.42857142857
India,2020-09-25,85362,85131.14285714286
India,2020-09-26,88600,84559
India,2020-09-27,82170,83874.57142857143
India,2020-09-28,70589,83232.57142857143
India,2020-09-29,80472,82821.85714285714
India,2020-09-30,86821,82866.57142857143
India,2020-10-01,81484,82214
India,2020-10-02,79476,81373.14285714286
India,2020-10-03,75829,79548.71428571429
India,2020-10-04,74442,78444.71428571429
India,2020-10-05,61267,77113
India,2020-10-06,72049,75909.71428571429
India,2020-10-07,78524,74724.42857142857
India,2020-10-08,70496,73154.71428571429
India,2020-10-09,73272,72268.42857142857
India,2020-10-10,74383,72061.85714285714
India,2020-10-11,66732,70960.42857142857
India,2020-10-12,55342,70114
India,2020-10-13,63509,68894
India,2020-10-14,67708,67348.85714285714
India,2020-10-15,63371,66331
India,2020-10-16,62212,64751
India,2020-10-17,61871,62963.57142857143
India,2020-10-18,55722,61390.71428571428
India,2020-10-19,46790,60169
India,2020-10-20,54044,58816.857142857145
India,2020-10-21,55839,57121.28571428572
India,2020-10-22,54366,55834.857142857145
India,2020-10-23,53370,54571.71428571428
India,2020-10-24,50129,52894.28571428572
India,2020-10-25,45148,51383.71428571428
India,2020-10-26,36470,49909.42857142857
India,2020-10-27,43893,48459.28571428572
India,2020-10-28,49881,47608.142857142855
India,2020-10-29,48648,46791.28571428572
India,2020-10-30,48268,46062.42857142857
India,2020-10-31,46963,45610.142857142855
India,2020-11-01,45231,45622
India,2020-11-02,38310,45884.857142857145
India,2020-11-03,46253,46222
India,2020-11-04,50210,46269
India,2020-11-05,47638,46124.71428571428
India,2020-11-06,50356,46423
India,2020-11-07,45674,46238.857142857145
India,2020-11-08,45903,46334.857142857145
India,2020-11-09,38073,46301
India,2020-11-10,44281,46019.28571428572
India,2020-11-11,47905,45690
India,2020-11-12,44879,45295.857142857145
India,2020-11-13,44684,44485.57142857143
India,2020-11-14,41100,43832.142857142855
India,2020-11-15,30548,41638.57142857143
India,2020-11-16,29163,40365.71428571428
India,2020-11-17,38617,39556.57142857143
India,2020-11-18,45576,39223.857142857145
India,2020-11-19,45882,39367.142857142855
India,2020-11-20,46232,39588.28571428572
India,2020-11-21,45209,40175.28571428572
India,2020-11-22,44059,42105.42857142857
India,2020-11-23,37975,43364.28571428572
India,2020-11-24,44376,44187
India,2020-11-25,44489,44031.71428571428
India,2020-11-26,43082,43631.71428571428
India,2020-11-27,41322,42930.28571428572
India,2020-11-28,41810,42444.71428571428
India,2020-11-29,38772,41689.42857142857
India,2020-11-30,31118,40709.857142857145
India,2020-12-01,36604,39599.57142857143
India,2020-12-02,35551,38322.71428571428
India,2020-12-03,36595,37396
India,2020-12-04,36652,36728.857142857145
India,2020-12-05,36011,35900.42857142857
India,2020-12-06,32981,35073.142857142855
India,2020-12-07,26567,34423
India,2020-12-08,32080,33776.71428571428
India,2020-12-09,31521,33201
India,2020-12-10,29373,32169.285714285714
India,2020-12-11,30031,31223.428571428572
India,2020-12-12,30254,30401
India,2020-12-13,27071,29556.714285714286
India,2020-12-14,22065,28913.571428571428
India,2020-12-15,26382,28099.571428571428
India,2020-12-16,24010,27026.571428571428
India,2020-12-17,22890,26100.428571428572
India,2020-12-18,25152,25403.428571428572
India,2020-12-19,26624,24884.85714285714
India,2020-12-20,24337,24494.285714285714
India,2020-12-21,19556,24135.85714285714
India,2020-12-22,23950,23788.428571428572
India,2020-12-23,24712,23888.714285714286
India,2020-12-24,23067,23914
India,2020-12-25,22273,23502.714285714286
India,2020-12-26,18732,22375.285714285714
India,2020-12-27,20021,21758.714285714286
India,2020-12-28,16432,21312.428571428572
India,2020-12-29,20549,20826.571428571428
India,2020-12-30,21822,20413.714285714286
India,2020-12-31,0,17118.428571428572
India,2021-01-01,20035,16798.714285714286
India,2021-01-02,37256,19445
India,2021-01-03,16504,18942.571428571428
India,2021-01-04,16375,18934.428571428572
India,2021-01-05,18088,18582.85714285714
India,2021-01-06,20346,18372
India,2021-01-07,18139,20963.285714285714
India,2021-01-08,0,18101.14285714286
India,2021-01-09,36867,18045.571428571428
India,2021-01-10,16311,18018
India,2021-01-11,12584,17476.428571428572
India,2021-01-12,15968,17173.571428571428
India,2021-01-13,16946,16687.85714285714
India,2021-01-14,15590,16323.714285714286
India,2021-01-15,15158,18489.14285714286
India,2021-01-16,15144,15385.857142857143
India,2021-01-17,13788,15025.42857142857
India,2021-01-18,10050,14663.42857142857
India,2021-01-19,13816,14356
India,2021-01-20,15244,14112.857142857143
India,2021-01-21,14545,13963.57142857143
India,2021-01-22,14256,13834.714285714286
India,2021-01-23,14849,13792.57142857143
India,2021-01-24,13203,13709
India,2021-01-25,9102,13573.57142857143
India,2021-01-26,12689,13412.57142857143
India,2021-01-27,11666,12901.42857142857
India,2021-01-28,18855,13517.142857142857
India,2021-01-29,13082,13349.42857142857
India,2021-01-30,13044,13091.57142857143
India,2021-01-31,11436,12839.142857142857
India,2021-02-01,8635,12772.42857142857
India,2021-02-02,11039,12536.714285714286
India,2021-02-03,12899,12712.857142857143
India,2021-02-04,12408,11791.857142857143
India,2021-02-05,11713,11596.285714285714
India,2021-02-06,12059,11455.57142857143
India,2021-02-07,11831,11512
India,2021-02-08,9110,11579.857142857143
India,2021-02-09,11067,11583.857142857143
India,2021-02-10,12923,11587.285714285714
India,2021-02-11,9309,11144.57142857143
India,2021-02-12,12143,11206
India,2021-02-13,12194,11225.285714285714
India,2021-02-14,11649,11199.285714285714
India,2021-02-15,9121,11200.857142857143
India,2021-02-16,11610,11278.42857142857
India,2021-02-17,12881,11272.42857142857
India,2021-02-18,13193,11827.285714285714
India,2021-02-19,13993,12091.57142857143
India,2021-02-20,14264,12387.285714285714
India,2021-02-21,14199,12751.57142857143
India,2021-02-22,10584,12960.57142857143
India,2021-02-23,13742,13265.142857142857
India,2021-02-24,16738,13816.142857142857
India,2021-02-25,16577,14299.57142857143
India,2021-02-26,16488,14656
India,2021-02-27,16752,15011.42857142857
India,2021-02-28,15510,15198.714285714286
India,2021-03-01,12286,15441.857142857143
India,2021-03-02,14989,15620
India,2021-03-03,17407,15715.57142857143
India,2021-03-04,16838,15752.857142857143
India,2021-03-05,18284,16009.42857142857
India,2021-03-06,18754,16295.42857142857
India,2021-03-07,18599,16736.714285714286
India,2021-03-08,15388,17179.85714285714
India,2021-03-09,17921,17598.714285714286
India,2021-03-10,22854,18376.85714285714
India,2021-03-11,23285,19297.85714285714
India,2021-03-12,24882,20240.428571428572
India,2021-03-13,25320,21178.428571428572
India,2021-03-14,26291,22277.285714285714
India,2021-03-15,24492,23577.85714285714
India,2021-03-16,28903,25146.714285714286
India,2021-03-17,35871,27006.285714285714
India,2021-03-18,39726,29355
India,2021-03-19,40953,31650.85714285714
India,2021-03-20,43846,34297.42857142857
India,2021-03-21,46951,37248.857142857145
India,2021-03-22,40715,39566.42857142857
India,2021-03-23,47262,42189.142857142855
India,2021-03-24,53476,44704.142857142855
India,2021-03-25,59118,47474.42857142857
India,2021-03-26,62258,50518
India,2021-03-27,62714,53213.42857142857
India,2021-03-28,68020,56223.28571428572
India,2021-03-29,56211,58437
India,2021-03-30,53480,59325.28571428572
India,2021-03-31,72330,62018.71428571428
India,2021-04-01,81466,65211.28571428572
India,2021-04-02,89129,69050
India,2021-04-03,93249,73412.14285714286
India,2021-04-04,103558,78489
India,2021-04-05,96982,84313.42857142857
India,2021-04-06,115736,93207.14285714286
India,2021-04-07,126789,100987
India,2021-04-08,131968,108201.57142857143
India,2021-04-09,145384,116238
India,2021-04-10,152879,124756.57142857143
India,2021-04-11,168912,134092.85714285713
India,2021-04-12,161736,143343.42857142858
India,2021-04-13,184372,153148.57142857142
India,2021-04-14,200739,163712.85714285713
India,2021-04-15,217353,175910.7142857143
India,2021-04-16,234692,188669
India,2021-04-17,261394,204171.14285714287
India,2021-04-18,273802,219155.42857142858
India,2021-04-19,259167,233074.14285714287
India,2021-04-20,295158,248900.7142857143
India,2021-04-21,314644,265172.85714285716
India,2021-04-22,332921,281682.5714285714
India,2021-04-23,346786,297696
India,2021-04-24,349691,310309.85714285716
India,2021-04-25,352991,321622.5714285714
India,2021-04-26,323023,330744.85714285716
India,2021-04-27,360927,340140.4285714286
