jour,vaccin_name,roll
2021-01-02,Pfizer,79.71428571428571
2021-01-02,Moderna,0
2021-01-02,AstraZeneca,0
2021-01-02,Janssen,0
2021-01-03,Pfizer,89.71428571428571
2021-01-03,Moderna,0
2021-01-03,AstraZeneca,0
2021-01-03,Janssen,0
2021-01-04,Pfizer,290.85714285714283
2021-01-04,Moderna,0
2021-01-04,AstraZeneca,0
2021-01-04,Janssen,0
2021-01-05,Pfizer,1046
2021-01-05,Moderna,0
2021-01-05,AstraZeneca,0
2021-01-05,Janssen,0
2021-01-06,Pfizer,2642.1428571428573
2021-01-06,Moderna,0
2021-01-06,AstraZeneca,0
2021-01-06,Janssen,0
2021-01-07,Pfizer,6709.142857142857
2021-01-07,Moderna,0
2021-01-07,AstraZeneca,0
2021-01-07,Janssen,0
2021-01-08,Pfizer,11875.57142857143
2021-01-08,Moderna,0
2021-01-08,AstraZeneca,0
2021-01-08,Janssen,0
2021-01-09,Pfizer,13422.714285714286
2021-01-09,Moderna,0
2021-01-09,AstraZeneca,0
2021-01-09,Janssen,0
2021-01-10,Pfizer,14212.57142857143
2021-01-10,Moderna,0
2021-01-10,AstraZeneca,0
2021-01-10,Janssen,0
2021-01-11,Pfizer,19569
2021-01-11,Moderna,0
2021-01-11,AstraZeneca,0
2021-01-11,Janssen,0
2021-01-12,Pfizer,27490.428571428572
2021-01-12,Moderna,0
2021-01-12,AstraZeneca,0
2021-01-12,Janssen,0
2021-01-13,Pfizer,34983.42857142857
2021-01-13,Moderna,0
2021-01-13,AstraZeneca,0
2021-01-13,Janssen,0
2021-01-14,Pfizer,42290
2021-01-14,Moderna,21
2021-01-14,AstraZeneca,0
2021-01-14,Janssen,0
2021-01-15,Pfizer,46721.142857142855
2021-01-15,Moderna,52
2021-01-15,AstraZeneca,0
2021-01-15,Janssen,0
2021-01-16,Pfizer,47950.57142857143
2021-01-16,Moderna,78.42857142857143
2021-01-16,AstraZeneca,0
2021-01-16,Janssen,0
2021-01-17,Pfizer,48642.857142857145
2021-01-17,Moderna,78.85714285714286
2021-01-17,AstraZeneca,0
2021-01-17,Janssen,0
2021-01-18,Pfizer,54710.857142857145
2021-01-18,Moderna,494.2857142857143
2021-01-18,AstraZeneca,0
2021-01-18,Janssen,0
2021-01-19,Pfizer,63722
2021-01-19,Moderna,1138.5714285714287
2021-01-19,AstraZeneca,0
2021-01-19,Janssen,0
2021-01-20,Pfizer,73219.28571428571
2021-01-20,Moderna,1841.5714285714287
2021-01-20,AstraZeneca,0
2021-01-20,Janssen,0
2021-01-21,Pfizer,83293.28571428571
2021-01-21,Moderna,2552.714285714286
2021-01-21,AstraZeneca,0
2021-01-21,Janssen,0
2021-01-22,Pfizer,89933.42857142857
2021-01-22,Moderna,3218.5714285714284
2021-01-22,AstraZeneca,0
2021-01-22,Janssen,0
2021-01-23,Pfizer,92297.71428571429
2021-01-23,Moderna,3440
2021-01-23,AstraZeneca,0
2021-01-23,Janssen,0
2021-01-24,Pfizer,92125.57142857143
2021-01-24,Moderna,3454.1428571428573
2021-01-24,AstraZeneca,0
2021-01-24,Janssen,0
2021-01-25,Pfizer,90946.42857142857
2021-01-25,Moderna,3557.8571428571427
2021-01-25,AstraZeneca,0
2021-01-25,Janssen,0
2021-01-26,Pfizer,86822.57142857143
2021-01-26,Moderna,3448.8571428571427
2021-01-26,AstraZeneca,0
2021-01-26,Janssen,0
2021-01-27,Pfizer,82818.85714285714
2021-01-27,Moderna,3237.285714285714
2021-01-27,AstraZeneca,0
2021-01-27,Janssen,0
2021-01-28,Pfizer,78331.71428571429
2021-01-28,Moderna,3007
2021-01-28,AstraZeneca,0
2021-01-28,Janssen,0
2021-01-29,Pfizer,74623.57142857143
2021-01-29,Moderna,2750.4285714285716
2021-01-29,AstraZeneca,0
2021-01-29,Janssen,0
2021-01-30,Pfizer,73410.14285714286
2021-01-30,Moderna,2654.714285714286
2021-01-30,AstraZeneca,0
2021-01-30,Janssen,0
2021-01-31,Pfizer,72782.71428571429
2021-01-31,Moderna,2640.1428571428573
2021-01-31,AstraZeneca,0
2021-01-31,Janssen,0
2021-02-01,Pfizer,69224.85714285714
2021-02-01,Moderna,2586.1428571428573
2021-02-01,AstraZeneca,0
2021-02-01,Janssen,0
2021-02-02,Pfizer,65131
2021-02-02,Moderna,2665.5714285714284
2021-02-02,AstraZeneca,0
2021-02-02,Janssen,0
2021-02-03,Pfizer,59953
2021-02-03,Moderna,2892.714285714286
2021-02-03,AstraZeneca,0
2021-02-03,Janssen,0
2021-02-04,Pfizer,53813
2021-02-04,Moderna,3067.1428571428573
2021-02-04,AstraZeneca,0
2021-02-04,Janssen,0
2021-02-05,Pfizer,50202.142857142855
2021-02-05,Moderna,3286.4285714285716
2021-02-05,AstraZeneca,0
2021-02-05,Janssen,0
2021-02-06,Pfizer,48988
2021-02-06,Moderna,3410
2021-02-06,AstraZeneca,45
2021-02-06,Janssen,0
2021-02-07,Pfizer,48783
2021-02-07,Moderna,3416
2021-02-07,AstraZeneca,237.57142857142858
2021-02-07,Janssen,0
2021-02-08,Pfizer,46995.42857142857
2021-02-08,Moderna,4010.4285714285716
2021-02-08,AstraZeneca,613.7142857142857
2021-02-08,Janssen,0
2021-02-09,Pfizer,44654.42857142857
2021-02-09,Moderna,4574.857142857143
2021-02-09,AstraZeneca,1561.857142857143
2021-02-09,Janssen,0
2021-02-10,Pfizer,42499.57142857143
2021-02-10,Moderna,5161.428571428572
2021-02-10,AstraZeneca,2879.714285714286
2021-02-10,Janssen,0
2021-02-11,Pfizer,40548.28571428572
2021-02-11,Moderna,5921.142857142857
2021-02-11,AstraZeneca,4785.428571428572
2021-02-11,Janssen,0
2021-02-12,Pfizer,39454.71428571428
2021-02-12,Moderna,6663.142857142857
2021-02-12,AstraZeneca,6647.571428571428
2021-02-12,Janssen,0
2021-02-13,Pfizer,38890.857142857145
2021-02-13,Moderna,6818.142857142857
2021-02-13,AstraZeneca,7103.857142857143
2021-02-13,Janssen,0
2021-02-14,Pfizer,38889.28571428572
2021-02-14,Moderna,6854.428571428572
2021-02-14,AstraZeneca,7034.857142857143
2021-02-14,Janssen,0
2021-02-15,Pfizer,37146.42857142857
2021-02-15,Moderna,6274.428571428572
2021-02-15,AstraZeneca,8102.428571428572
2021-02-15,Janssen,0
2021-02-16,Pfizer,34590.42857142857
2021-02-16,Moderna,5796.285714285715
2021-02-16,AstraZeneca,8892
2021-02-16,Janssen,0
2021-02-17,Pfizer,32234.571428571428
2021-02-17,Moderna,5077.428571428572
2021-02-17,AstraZeneca,9118.857142857143
2021-02-17,Janssen,0
2021-02-18,Pfizer,30229.85714285714
2021-02-18,Moderna,4388.428571428572
2021-02-18,AstraZeneca,9290.57142857143
2021-02-18,Janssen,0
2021-02-19,Pfizer,28741.571428571428
2021-02-19,Moderna,3728.714285714286
2021-02-19,AstraZeneca,9444.285714285714
2021-02-19,Janssen,0
2021-02-20,Pfizer,28439.714285714286
2021-02-20,Moderna,3550
2021-02-20,AstraZeneca,9396.57142857143
2021-02-20,Janssen,0
2021-02-21,Pfizer,28253.285714285714
2021-02-21,Moderna,3535.8571428571427
2021-02-21,AstraZeneca,9350.714285714286
2021-02-21,Janssen,0
2021-02-22,Pfizer,28319.14285714286
2021-02-22,Moderna,3558.285714285714
2021-02-22,AstraZeneca,9179
2021-02-22,Janssen,0
2021-02-23,Pfizer,28970.714285714286
2021-02-23,Moderna,3548.1428571428573
2021-02-23,AstraZeneca,9026.714285714286
2021-02-23,Janssen,0
2021-02-24,Pfizer,29683
2021-02-24,Moderna,3639.714285714286
2021-02-24,AstraZeneca,9464.285714285714
2021-02-24,Janssen,0
2021-02-25,Pfizer,29792.85714285714
2021-02-25,Moderna,3648.714285714286
2021-02-25,AstraZeneca,13718.57142857143
2021-02-25,Janssen,0
2021-02-26,Pfizer,30030.14285714286
2021-02-26,Moderna,3505.8571428571427
2021-02-26,AstraZeneca,20470.571428571428
2021-02-26,Janssen,0
2021-02-27,Pfizer,30338.428571428572
2021-02-27,Moderna,3468.4285714285716
2021-02-27,AstraZeneca,24936.714285714286
2021-02-27,Janssen,0
2021-02-28,Pfizer,30497.571428571428
2021-02-28,Moderna,3454.4285714285716
2021-02-28,AstraZeneca,25193.571428571428
2021-02-28,Janssen,0
2021-03-01,Pfizer,32594.571428571428
2021-03-01,Moderna,3660.5714285714284
2021-03-01,AstraZeneca,26761.14285714286
2021-03-01,Janssen,0
2021-03-02,Pfizer,35170.71428571428
2021-03-02,Moderna,3870.4285714285716
2021-03-02,AstraZeneca,30646.85714285714
2021-03-02,Janssen,0
2021-03-03,Pfizer,38050.57142857143
2021-03-03,Moderna,4084.5714285714284
2021-03-03,AstraZeneca,35488.142857142855
2021-03-03,Janssen,0
2021-03-04,Pfizer,41232
2021-03-04,Moderna,4481.571428571428
2021-03-04,AstraZeneca,40726
2021-03-04,Janssen,0
2021-03-05,Pfizer,45102.42857142857
2021-03-05,Moderna,4992.142857142857
2021-03-05,AstraZeneca,48636.857142857145
2021-03-05,Janssen,0
2021-03-06,Pfizer,54563.857142857145
2021-03-06,Moderna,5437.571428571428
2021-03-06,AstraZeneca,60684.28571428572
2021-03-06,Janssen,0
2021-03-07,Pfizer,63099.28571428572
2021-03-07,Moderna,5749.571428571428
2021-03-07,AstraZeneca,68125.42857142857
2021-03-07,Janssen,0
2021-03-08,Pfizer,65955.14285714286
2021-03-08,Moderna,5609.857142857143
2021-03-08,AstraZeneca,71282
2021-03-08,Janssen,0
2021-03-09,Pfizer,70196.42857142857
2021-03-09,Moderna,5747
2021-03-09,AstraZeneca,76937.71428571429
2021-03-09,Janssen,0
2021-03-10,Pfizer,74408.14285714286
2021-03-10,Moderna,5835
2021-03-10,AstraZeneca,81499.14285714286
2021-03-10,Janssen,0
2021-03-11,Pfizer,78993.14285714286
2021-03-11,Moderna,5975.142857142857
2021-03-11,AstraZeneca,88071.85714285714
2021-03-11,Janssen,0
2021-03-12,Pfizer,83130.28571428571
2021-03-12,Moderna,5968
2021-03-12,AstraZeneca,97252.42857142857
2021-03-12,Janssen,0
2021-03-13,Pfizer,84004
2021-03-13,Moderna,6717.571428571428
2021-03-13,AstraZeneca,98966.71428571429
2021-03-13,Janssen,0
2021-03-14,Pfizer,81240.42857142857
2021-03-14,Moderna,7070.428571428572
2021-03-14,AstraZeneca,93151.71428571429
2021-03-14,Janssen,0
2021-03-15,Pfizer,86250.71428571429
2021-03-15,Moderna,8021.285714285715
2021-03-15,AstraZeneca,94471.71428571429
2021-03-15,Janssen,0
2021-03-16,Pfizer,91603
2021-03-16,Moderna,9333.714285714286
2021-03-16,AstraZeneca,83474.14285714286
2021-03-16,Janssen,0
2021-03-17,Pfizer,97093.14285714286
2021-03-17,Moderna,11198.142857142857
2021-03-17,AstraZeneca,72178.14285714286
2021-03-17,Janssen,0
2021-03-18,Pfizer,102451.71428571429
2021-03-18,Moderna,13183.42857142857
2021-03-18,AstraZeneca,54204.42857142857
2021-03-18,Janssen,0
2021-03-19,Pfizer,107027
2021-03-19,Moderna,15349.857142857143
2021-03-19,AstraZeneca,38256.71428571428
2021-03-19,Janssen,0
2021-03-20,Pfizer,105223.14285714286
2021-03-20,Moderna,17532
2021-03-20,AstraZeneca,28774.14285714286
2021-03-20,Janssen,0
2021-03-21,Pfizer,102671
2021-03-21,Moderna,19348.85714285714
2021-03-21,AstraZeneca,27597
2021-03-21,Janssen,0
2021-03-22,Pfizer,105398.42857142857
2021-03-22,Moderna,20313.571428571428
2021-03-22,AstraZeneca,25523.714285714286
2021-03-22,Janssen,0
2021-03-23,Pfizer,108103
2021-03-23,Moderna,21144.285714285714
2021-03-23,AstraZeneca,37314.71428571428
2021-03-23,Janssen,0
2021-03-24,Pfizer,109871.71428571429
2021-03-24,Moderna,21663.285714285714
2021-03-24,AstraZeneca,50042.28571428572
2021-03-24,Janssen,0
2021-03-25,Pfizer,112992.71428571429
2021-03-25,Moderna,22138
2021-03-25,AstraZeneca,71065.71428571429
2021-03-25,Janssen,0
2021-03-26,Pfizer,117270.28571428571
2021-03-26,Moderna,22666.571428571428
2021-03-26,AstraZeneca,84544.85714285714
2021-03-26,Janssen,0
2021-03-27,Pfizer,122259.14285714286
2021-03-27,Moderna,21308.85714285714
2021-03-27,AstraZeneca,84972.85714285714
2021-03-27,Janssen,0
2021-03-28,Pfizer,124537.85714285714
2021-03-28,Moderna,20297.428571428572
2021-03-28,AstraZeneca,85075
2021-03-28,Janssen,0
2021-03-29,Pfizer,126734.42857142857
2021-03-29,Moderna,20476.428571428572
2021-03-29,AstraZeneca,87454.71428571429
2021-03-29,Janssen,0
2021-03-30,Pfizer,130260.14285714286
2021-03-30,Moderna,20747.714285714286
2021-03-30,AstraZeneca,88684.57142857143
2021-03-30,Janssen,0
2021-03-31,Pfizer,134391
2021-03-31,Moderna,21398
2021-03-31,AstraZeneca,84786.85714285714
2021-03-31,Janssen,0
2021-04-01,Pfizer,138452.42857142858
2021-04-01,Moderna,22497
2021-04-01,AstraZeneca,75704.42857142857
2021-04-01,Janssen,0
2021-04-02,Pfizer,138177.42857142858
2021-04-02,Moderna,22914
2021-04-02,AstraZeneca,64570.42857142857
2021-04-02,Janssen,0
2021-04-03,Pfizer,134932
2021-04-03,Moderna,23069.571428571428
2021-04-03,AstraZeneca,59974.42857142857
2021-04-03,Janssen,0
2021-04-04,Pfizer,133589.2857142857
2021-04-04,Moderna,22893.714285714286
2021-04-04,AstraZeneca,59571.28571428572
2021-04-04,Janssen,0
2021-04-05,Pfizer,121328
2021-04-05,Moderna,21961.85714285714
2021-04-05,AstraZeneca,52551.57142857143
2021-04-05,Janssen,0
2021-04-06,Pfizer,120178.42857142857
2021-04-06,Moderna,22323.571428571428
2021-04-06,AstraZeneca,43527.42857142857
2021-04-06,Janssen,0
2021-04-07,Pfizer,123776.85714285714
2021-04-07,Moderna,22678.428571428572
2021-04-07,AstraZeneca,39109.71428571428
2021-04-07,Janssen,0
2021-04-08,Pfizer,127688.28571428571
2021-04-08,Moderna,23038.428571428572
2021-04-08,AstraZeneca,38069.142857142855
2021-04-08,Janssen,0
2021-04-09,Pfizer,134693.7142857143
2021-04-09,Moderna,23592
2021-04-09,AstraZeneca,48642.142857142855
2021-04-09,Janssen,0
2021-04-10,Pfizer,138830.85714285713
2021-04-10,Moderna,23979.85714285714
2021-04-10,AstraZeneca,54251
2021-04-10,Janssen,0
2021-04-11,Pfizer,139945.42857142858
2021-04-11,Moderna,23787.571428571428
2021-04-11,AstraZeneca,54771.28571428572
2021-04-11,Janssen,0
2021-04-12,Pfizer,157640.7142857143
2021-04-12,Moderna,24455.85714285714
2021-04-12,AstraZeneca,61389.28571428572
2021-04-12,Janssen,0
2021-04-13,Pfizer,163823.2857142857
2021-04-13,Moderna,23368.571428571428
2021-04-13,AstraZeneca,69414.28571428571
2021-04-13,Janssen,0
2021-04-14,Pfizer,165415.42857142858
2021-04-14,Moderna,21521.571428571428
2021-04-14,AstraZeneca,74415.57142857143
2021-04-14,Janssen,0
2021-04-15,Pfizer,165338.7142857143
2021-04-15,Moderna,19427.14285714286
2021-04-15,AstraZeneca,76442
2021-04-15,Janssen,0
2021-04-16,Pfizer,164176.85714285713
2021-04-16,Moderna,17566.571428571428
2021-04-16,AstraZeneca,69472.71428571429
2021-04-16,Janssen,0
2021-04-17,Pfizer,164838.14285714287
2021-04-17,Moderna,16652.571428571428
2021-04-17,AstraZeneca,66292.85714285714
2021-04-17,Janssen,0
2021-04-18,Pfizer,164134.2857142857
2021-04-18,Moderna,16362.285714285714
2021-04-18,AstraZeneca,66637
2021-04-18,Janssen,0
2021-04-19,Pfizer,163446.2857142857
2021-04-19,Moderna,16316.714285714286
2021-04-19,AstraZeneca,62907.57142857143
2021-04-19,Janssen,0
2021-04-20,Pfizer,161410.7142857143
2021-04-20,Moderna,16300.285714285714
2021-04-20,AstraZeneca,57159.142857142855
2021-04-20,Janssen,0
2021-04-21,Pfizer,159421.57142857142
2021-04-21,Moderna,16589.714285714286
2021-04-21,AstraZeneca,53087.71428571428
2021-04-21,Janssen,0
2021-04-22,Pfizer,157652.14285714287
2021-04-22,Moderna,16813.85714285714
2021-04-22,AstraZeneca,47659.57142857143
2021-04-22,Janssen,0
2021-04-23,Pfizer,156618.42857142858
2021-04-23,Moderna,17362.714285714286
2021-04-23,AstraZeneca,41717.28571428572
2021-04-23,Janssen,105.85714285714286
2021-04-24,Pfizer,157203
2021-04-24,Moderna,19084.14285714286
2021-04-24,AstraZeneca,39471.42857142857
2021-04-24,Janssen,327.57142857142856
2021-04-25,Pfizer,159724.2857142857
2021-04-25,Moderna,19613.714285714286
2021-04-25,AstraZeneca,38969.28571428572
2021-04-25,Janssen,344.2857142857143
2021-04-26,Pfizer,162070.42857142858
2021-04-26,Moderna,19651.85714285714
2021-04-26,AstraZeneca,38203.71428571428
2021-04-26,Janssen,748.1428571428571
2021-04-27,Pfizer,166583.2857142857
2021-04-27,Moderna,19647.428571428572
2021-04-27,AstraZeneca,36615
2021-04-27,Janssen,2085.4285714285716
2021-04-28,Pfizer,172798.2857142857
2021-04-28,Moderna,19914.85714285714
2021-04-28,AstraZeneca,35221.57142857143
2021-04-28,Janssen,3478.8571428571427
2021-04-29,Pfizer,181453.57142857142
2021-04-29,Moderna,20154.428571428572
2021-04-29,AstraZeneca,33915.142857142855
2021-04-29,Janssen,5746.142857142857
2021-04-30,Pfizer,191733.42857142858
2021-04-30,Moderna,20283.428571428572
2021-04-30,AstraZeneca,31789.14285714286
2021-04-30,Janssen,8364
2021-05-01,Pfizer,193526.2857142857
2021-05-01,Moderna,18807.285714285714
2021-05-01,AstraZeneca,27885.428571428572
2021-05-01,Janssen,8412.857142857143
2021-05-02,Pfizer,197421
2021-05-02,Moderna,18377.714285714286
2021-05-02,AstraZeneca,27440
2021-05-02,Janssen,8458.857142857143
2021-05-03,Pfizer,207071.85714285713
2021-05-03,Moderna,18764.428571428572
2021-05-03,AstraZeneca,26499.14285714286
2021-05-03,Janssen,8758
2021-05-04,Pfizer,213092.14285714287
2021-05-04,Moderna,18620.85714285714
2021-05-04,AstraZeneca,24884.285714285714
2021-05-04,Janssen,8598.57142857143
2021-05-05,Pfizer,219076.2857142857
2021-05-05,Moderna,18101.285714285714
2021-05-05,AstraZeneca,23421
2021-05-05,Janssen,8061.857142857143
2021-05-06,Pfizer,224424
2021-05-06,Moderna,17823.14285714286
2021-05-06,AstraZeneca,21897.85714285714
2021-05-06,Janssen,7401.857142857143
2021-05-07,Pfizer,226016
2021-05-07,Moderna,17773.285714285714
2021-05-07,AstraZeneca,20296.428571428572
2021-05-07,Janssen,7377.857142857143
2021-05-08,Pfizer,232156.85714285713
2021-05-08,Moderna,18527.285714285714
2021-05-08,AstraZeneca,19891.714285714286
2021-05-08,Janssen,7428.857142857143
2021-05-09,Pfizer,236765.2857142857
2021-05-09,Moderna,19444.428571428572
2021-05-09,AstraZeneca,19715.428571428572
2021-05-09,Janssen,7455.857142857143
2021-05-10,Pfizer,237385.42857142858
2021-05-10,Moderna,21265.14285714286
2021-05-10,AstraZeneca,19987.428571428572
2021-05-10,Janssen,7764.285714285715
2021-05-11,Pfizer,244843.2857142857
2021-05-11,Moderna,24820.571428571428
2021-05-11,AstraZeneca,20554
2021-05-11,Janssen,8600
2021-05-12,Pfizer,254818.14285714287
2021-05-12,Moderna,29171
2021-05-12,AstraZeneca,20365
2021-05-12,Janssen,9162.714285714286
2021-05-13,Pfizer,251047.42857142858
2021-05-13,Moderna,33075.71428571428
2021-05-13,AstraZeneca,15812.714285714286
2021-05-13,Janssen,7761.142857142857
2021-05-14,Pfizer,262708.85714285716
2021-05-14,Moderna,38172.42857142857
2021-05-14,AstraZeneca,11627
2021-05-14,Janssen,6143.285714285715
2021-05-15,Pfizer,278342
2021-05-15,Moderna,44623
2021-05-15,AstraZeneca,11707.57142857143
2021-05-15,Janssen,6332.428571428572
2021-05-16,Pfizer,284461.5714285714
2021-05-16,Moderna,48914
2021-05-16,AstraZeneca,11600.142857142857
2021-05-16,Janssen,6293
2021-05-17,Pfizer,293340
2021-05-17,Moderna,50607.71428571428
2021-05-17,AstraZeneca,10612.857142857143
2021-05-17,Janssen,5886.857142857143
2021-05-18,Pfizer,301664.4285714286
2021-05-18,Moderna,52094.57142857143
2021-05-18,AstraZeneca,8686.714285714286
2021-05-18,Janssen,5092.285714285715
2021-05-19,Pfizer,307263.4285714286
2021-05-19,Moderna,53137.857142857145
2021-05-19,AstraZeneca,7556.142857142857
2021-05-19,Janssen,4458.857142857143
2021-05-20,Pfizer,326313.14285714284
2021-05-20,Moderna,54845.71428571428
2021-05-20,AstraZeneca,9018.42857142857
2021-05-20,Janssen,5563
2021-05-21,Pfizer,330409.14285714284
2021-05-21,Moderna,55109.857142857145
2021-05-21,AstraZeneca,8758.57142857143
2021-05-21,Janssen,6266.428571428572
2021-05-22,Pfizer,327675.14285714284
2021-05-22,Moderna,54471.57142857143
2021-05-22,AstraZeneca,8434.42857142857
2021-05-22,Janssen,6458.142857142857
2021-05-23,Pfizer,322726.28571428574
2021-05-23,Moderna,53609.857142857145
2021-05-23,AstraZeneca,8395
2021-05-23,Janssen,6467.714285714285
2021-05-24,Pfizer,312208.28571428574
2021-05-24,Moderna,49719.142857142855
2021-05-24,AstraZeneca,7407.428571428572
2021-05-24,Janssen,5995.428571428572
2021-05-25,Pfizer,310348.85714285716
2021-05-25,Moderna,45033
2021-05-25,AstraZeneca,6255.571428571428
2021-05-25,Janssen,5827.428571428572
2021-05-26,Pfizer,307606.85714285716
2021-05-26,Moderna,39712.142857142855
2021-05-26,AstraZeneca,5651.285714285715
2021-05-26,Janssen,6112.571428571428
2021-05-27,Pfizer,305491.4285714286
2021-05-27,Moderna,33990.142857142855
2021-05-27,AstraZeneca,4744.428571428572
2021-05-27,Janssen,6806.714285714285
2021-05-28,Pfizer,300792.14285714284
2021-05-28,Moderna,29116.714285714286
2021-05-28,AstraZeneca,4011.285714285714
2021-05-28,Janssen,8759.285714285714
2021-05-29,Pfizer,297797.14285714284
2021-05-29,Moderna,24692.571428571428
2021-05-29,AstraZeneca,3784.5714285714284
2021-05-29,Janssen,9639.857142857143
2021-05-30,Pfizer,294670.14285714284
2021-05-30,Moderna,20055.285714285714
2021-05-30,AstraZeneca,3760.714285714286
2021-05-30,Janssen,9702.57142857143
2021-05-31,Pfizer,304566.71428571426
2021-05-31,Moderna,21582
2021-05-31,AstraZeneca,3969.5714285714284
2021-05-31,Janssen,11338.714285714286
2021-06-01,Pfizer,302638.85714285716
2021-06-01,Moderna,24932.285714285714
2021-06-01,AstraZeneca,3700.8571428571427
2021-06-01,Janssen,13094.142857142857
2021-06-02,Pfizer,299485.71428571426
2021-06-02,Moderna,27450.14285714286
2021-06-02,AstraZeneca,3384.4285714285716
2021-06-02,Janssen,14027.57142857143
2021-06-03,Pfizer,296627.14285714284
2021-06-03,Moderna,31366.14285714286
2021-06-03,AstraZeneca,2987.8571428571427
2021-06-03,Janssen,14726.57142857143
2021-06-04,Pfizer,295455.28571428574
2021-06-04,Moderna,36409.42857142857
2021-06-04,AstraZeneca,2510.4285714285716
2021-06-04,Janssen,14072.57142857143
2021-06-05,Pfizer,295698.71428571426
2021-06-05,Moderna,36903.57142857143
2021-06-05,AstraZeneca,2320.1428571428573
2021-06-05,Janssen,13773.857142857143
2021-06-06,Pfizer,299052.14285714284
2021-06-06,Moderna,36924.142857142855
2021-06-06,AstraZeneca,2301.5714285714284
2021-06-06,Janssen,13772.285714285714
